epoch,accuracy,loss,val_accuracy,val_loss
0,0.8828828930854797,0.3216281831264496,1.0,0.00547129288315773
1,0.9144144058227539,0.18641722202301025,1.0,0.0017787331016734242
2,0.9414414167404175,0.12479705363512039,1.0,0.0009540963219478726
3,0.9504504799842834,0.10412674397230148,1.0,0.0008480288670398295
4,0.9729729890823364,0.10082533210515976,1.0,0.0006453570676967502
5,0.977477490901947,0.03606995940208435,1.0,0.0005296375602483749
6,0.9729729890823364,0.0854308009147644,1.0,0.00037067459197714925
7,0.9864864945411682,0.03986434265971184,1.0,0.00022931619605515152
8,0.9819819927215576,0.0353768989443779,1.0,0.00017419019422959536
9,0.9864864945411682,0.027978088706731796,1.0,0.00016966203111223876
10,0.9909909963607788,0.027033289894461632,1.0,0.00015175272710621357
11,0.9729729890823364,0.07385461032390594,1.0,0.00014605416799895465
12,0.9909909963607788,0.020982107147574425,1.0,0.00013188332377467304
13,0.9909909963607788,0.022141804918646812,1.0,0.0001237541000591591
14,0.977477490901947,0.060892149806022644,1.0,0.00011079968680860475
15,0.9954954981803894,0.02538360469043255,1.0,9.777495142770931e-05
16,0.9864864945411682,0.031080050393939018,1.0,8.615204569650814e-05
17,0.9909909963607788,0.02923727221786976,1.0,8.464825805276632e-05
18,0.9909909963607788,0.027744615450501442,1.0,8.356982289114967e-05
19,0.977477490901947,0.03694470226764679,1.0,8.121947757899761e-05
20,0.9954954981803894,0.02493954263627529,1.0,8.081320993369445e-05
21,0.9909909963607788,0.014662321656942368,1.0,8.067069575190544e-05
22,0.9909909963607788,0.021130377426743507,1.0,8.053028432186693e-05
23,0.9909909963607788,0.015679748728871346,1.0,8.034308848436922e-05
24,0.9819819927215576,0.023953082039952278,1.0,8.02941431174986e-05
25,0.9954954981803894,0.00816361978650093,1.0,8.024094859138131e-05
26,0.9909909963607788,0.03316767141222954,1.0,8.04323426564224e-05
27,0.9819819927215576,0.047105878591537476,1.0,8.043656998779625e-05
28,0.9909909963607788,0.03466080501675606,1.0,8.041314140427858e-05
29,0.9909909963607788,0.020277732983231544,1.0,8.024082490010187e-05
30,0.9954954981803894,0.020713096484541893,1.0,8.025568968150765e-05
31,0.9864864945411682,0.02777000330388546,1.0,8.033010817598552e-05
32,0.9909909963607788,0.02025463804602623,1.0,8.0253514170181e-05
33,0.9909909963607788,0.023584755137562752,1.0,7.987278513610363e-05
34,0.9684684872627258,0.07126221060752869,1.0,7.966641715029255e-05
35,0.9954954981803894,0.016542334109544754,1.0,7.965575059643015e-05
36,0.977477490901947,0.04690035060048103,1.0,7.92303544585593e-05
37,0.9864864945411682,0.027562789618968964,1.0,7.883686339482665e-05
38,0.9909909963607788,0.022448433563113213,1.0,7.860924961278215e-05
39,0.9954954981803894,0.01784365065395832,1.0,7.845393702154979e-05
40,0.9864864945411682,0.043287452310323715,1.0,7.842412014724687e-05
41,0.9954954981803894,0.014628810808062553,1.0,7.835603173589334e-05
42,0.9864864945411682,0.05901163071393967,1.0,7.836236909497529e-05
43,0.9954954981803894,0.014983030036091805,1.0,7.838998135412112e-05
44,0.977477490901947,0.0400540865957737,1.0,7.822615589248016e-05
45,0.9864864945411682,0.05603112280368805,1.0,7.747740892227739e-05
46,0.9819819927215576,0.06455393880605698,1.0,7.754329999443144e-05
47,0.977477490901947,0.04803670942783356,1.0,7.734756945865229e-05
48,0.9909909963607788,0.030449531972408295,1.0,7.73198771639727e-05
49,1.0,0.010132196359336376,1.0,7.743471360299736e-05
50,0.9954954981803894,0.019757620990276337,1.0,7.722197187831625e-05
51,0.9864864945411682,0.022256039083003998,1.0,7.709644705755636e-05
52,0.9909909963607788,0.04429340735077858,1.0,7.718145934632048e-05
53,0.9864864945411682,0.039734598249197006,1.0,7.754298712825403e-05
54,1.0,0.01203989889472723,1.0,7.755996193736792e-05
55,0.9864864945411682,0.03539871424436569,1.0,7.723447924945503e-05
56,0.9819819927215576,0.04316413030028343,1.0,7.690047641517594e-05
57,0.9864864945411682,0.04125681146979332,1.0,7.677279791096225e-05
58,0.9909909963607788,0.023499932140111923,1.0,7.684931915719062e-05
59,0.9954954981803894,0.024394262582063675,1.0,7.701518916292116e-05
60,0.9864864945411682,0.029644016176462173,1.0,7.768940122332424e-05
61,0.977477490901947,0.06499714404344559,1.0,7.812325929990038e-05
62,0.9729729890823364,0.04456058889627457,1.0,7.857623131712899e-05
63,0.9819819927215576,0.0509125255048275,1.0,7.892285793786868e-05
64,0.9729729890823364,0.03509729355573654,1.0,7.90079211583361e-05
65,0.9819819927215576,0.029371488839387894,1.0,7.913548324722797e-05
66,1.0,0.011552668176591396,1.0,7.936725887702778e-05
67,0.9954954981803894,0.037096988409757614,1.0,7.973942410899326e-05
68,0.9954954981803894,0.01710798218846321,1.0,7.99116533016786e-05
69,0.9909909963607788,0.014137431047856808,1.0,7.97988977865316e-05
70,0.9909909963607788,0.02110406756401062,1.0,7.927777187433094e-05
71,0.9864864945411682,0.04863598197698593,1.0,7.923302473500371e-05
72,0.9864864945411682,0.030931871384382248,1.0,7.929466664791107e-05
73,0.9819819927215576,0.0304906964302063,1.0,7.881820056354627e-05
74,0.9954954981803894,0.011396342888474464,1.0,7.815244316589087e-05
75,0.9909909963607788,0.021922223269939423,1.0,7.782272587064654e-05
76,0.9909909963607788,0.051583774387836456,1.0,7.78162939241156e-05
77,0.9819819927215576,0.04439801722764969,1.0,7.768013892928138e-05
